Project ID:,COU-SCE-13-0001
Group Type Name:,Lab Groups
Number of Group: ,44
Username,Grp
XCHU001,1
KWOK0037,1
NHU1,1
MUHAMMAD123,1
QYANG5,1
TANY0340,1
SKTEO2,1
PTYIP1,1
RCHIA3,2
HEIN0007,2
YXKANG1,2
NISHTHA1,2
PHAN0041,2
C110043,2
C110038,2
YEQI0002,2
PACHEN1,3
GAOC0002,3
SJIANG3,3
WSLIM2,3
YMOH1,3
PPTHEIN1,3
MSTAN2,3
XUAI0001,3
ALEX1,4
BENC0001,4
JACK0009,4
QLI11,4
YNG4,4
BHARGAV1,4
SUNS0009,4
JWANG18,4
C110044,5
JBKOH2,5
SLLOH2,5
PENG0047,5
SAN3,5
KWSEET1,5
WKTAY3,5
YANG0314,5
WCHAN3,6
DING0066,6
JLOW6,6
KHLIM6,6
CNOV1,6
FYTAN3,6
AKRITI1,6
ZHAO0153,6
ABEL0003,7
BZGOH1,7
HYHO2,7
LKLEUNG1,7
XYNG4,7
YXSOH1,7
VAISHNAV1,7
ZIN3,7
JDCHEOK1,8
FKHOO1,8
LIZH0030,8
C110056,8
ZYONG2,8
YHTANG2,8
WLHTUN001,8
XUEY0009,8
CHEN0791,9
JQUAK1,9
ADARSH1,9
PLIN2,9
WKONG3,9
YSTAN5,9
YTTAN5,9
SXU4,9
CGUNAWAN1,10
CTGN1,10
ZJLEE1,10
WNNG1,10
YCNG3,10
JSOH2,10
WUYI0006,10
RZHOU2,10
C110057,11
FARN0001,11
JESS0021,11
WKLIM4,11
HYOH2,11
RPEH1,11
KWTAN7,11
CXIN1,11
XCAI3,12
HS0001YU,12
JXLIM5,12
ZCLIM001,12
NAM4,12
CTAN10,12
WDJINGGA1,12
ZWU6,12
YCHENG4,13
CYGU1,13
HO0011NG,13
HTOO0001,13
C110050,13
WHSNG1,13
SSUSANTI3,13
ZWANG14,13
SYANG7,14
CHEN0772,14
JHCHUA5,14
HJKHOK1,14
KKNGIAM1,14
C110036,14
ZKTAN1,14
XUYI0012,14
BIN1,15
YFHO1,15
WLI11,15
LINS0043,15
ZYNG2,15
MRSIM1,15
HSRI001,15
RWANG4,15
CMCHAN2,16
INCHONG1,16
JSLIM3,16
LINJ0064,16
NIRM0002,16
CSTAN2,16
SYWONG5,16
YWXI1,16
ZCCHOO1,17
KYKWA1,17
C110029,17
MTAN7,17
YJPUAH1,17
JHTAY002,17
MPTEO1,17
SQYEO1,17
AUNG9,18
GUPE0002,18
XTHENG001,18
CLLIM005,18
CCNGOH1,18
RAYM0012,18
SURYADI1,18
WANG0728,18
CHEN0788,19
JONG10,19
JWLIM4,19
CLIM6,19
JHONG5,19
MHTAN3,19
WANG0713,19
JJXU1,19
TXHO1,20
AKHONG1,20
LINN0003,20
NGA1,20
XHONG2,20
KSEET1,20
GTAN009,20
XU0001ZI,20
MJCHONG1,21
CQCHUNG1,21
XLLAM001,21
C110058,21
CYNG7,21
SHALINI2,21
YTTEO3,21
ZGZENG1,21
JYCHEW2,22
SWCHIA1,22
JCHUA1,22
LKIM1,22
MART0011,22
SRIPORNA1,22
WKOON1,22
KMYAN1,22
CZHU003,22
ELLE0002,23
HSU4,23
JYLEE6,23
PBNG1,23
WBSIM001,23
YQSIM1,23
VQTOH1,23
XZHAO006,23
CHEN0783,24
XSCHIU1,24
JERE0021,24
WYLIM4,24
MU0001MI,24
NU0001IT,24
JYTAN11,24
ZXIA3,24
ZSCHUA1,25
JYTAN10,25
CLLAM001,25
MU0001OF,25
RAPH0002,25
JHTAM1,25
YSTEO2,25
ZENG0065,25
CHIA0315,26
ZHKO1,26
LAIW0015,26
YLIU19,26
WLPEH001,26
YHTAN8,26
JKTAY1,26
YANG0318,26
ACHEN1,27
JHFWU001,27
JOYC0008,27
LLIN4,27
WTONG2,27
YXPOH2,27
C110051,27
XU0003EN,27
ASSMI1,28
XMCHEOH1,28
HARPREET2,28
YLI26,28
LOWY0054,28
DUY4,28
NEELIMA1,28
YWANG034,28
AKWONG1,29
AGOH5,29
HUWE0009,29
C110066,29
XLNG001,29
SESOH1,29
DSONG1,29
ZYWAN1,29
AKWIN1,30
KHLEE1,30
LIUF0020,30
WTNG2,30
JJSOH001,30
LYTSOI1,30
YANY0017,30
LZHOU2,30
XLHOW1,31
HHLIM4,31
WFLIM1,31
HIEN1,31
SHER0017,31
BPTAN3,31
WEIX0011,31
ZWU7,31
CLEM0007,32
WHUANG4,32
JOSH0016,32
JMLIM2,32
KFLIM1,32
TIEN3,32
TA0002TH,32
QDWANG1,32
JXCHUA1,33
KMCHUA2,33
KCLAI1,33
MUHAMMAD129,33
TRI2,33
JIVESH1,33
WHTEO1,33
SCYONG1,33
JHCHAI2,34
DSINJAYA1,34
KWLOW1,34
HNEO1,34
AVNISH1,34
RTEO3,34
LYANG3,34
CZHANG011,34
CHIA0316,35
HYER1,35
KONG0081,35
ALEE5,35
MMIN001,35
NGSU0009,35
WLSIOW2,35
YXTOH003,35
KZHOU2,35
JWLOH2,36
LAUJ0011,36
SRLI1,36
YKNEO1,36
CCSEE1,36
HLTOH2,36
HPTSOI1,36
XZHANG009,36
YWCHOW1,37
PRADEEP003,37
JLKWEK1,37
YWLOW2,37
MOHAMMAD11,37
VIDUR1,37
PBTEO1,37
NZHANG004,37
CAOX0011,38
XFCHEN1,38
FRED0005,38
YJLIM2,38
C110025,38
PHYO5,38
SKTAN4,38
KXU2,38
JLCHEAH1,39
CHEN0754,39
JANS0003,39
LLIM8,39
NURF0022,39
ONGW0064,39
JHTAN12,39
XJTAN3,39
VLCHIA1,40
WQCHUA1,40
JKKOH1,40
CLU4,40
JXNIM1,40
MINH13,40
YTAY2,40
YWYAP1,40
C110028,41
HU0001BO,41
SKKOO1,41
SONAKSHI1,41
POHW0013,41
SU7,41
C110062,41
SEANGLID1,41
AUDITYA1,42
TWHENG1,42
TBLEE1,42
BYLIM1,42
NGOT0005,42
SUNA0003,42
JTANG5,42
YHWANG1,42
TUONG1,43
CSIAH1,43
EDWI0011,43
LEEJ0126,43
BZNG1,43
YLOH2,43
JCTOH1,43
FZHAO2,43
AANN001,44
SWCHEONG1,44
QBFONG1,44
YTLAM001,44
SI0001AN,44
QTAO001,44
SLWONG5,44
WCYEO2,44
FZHAO1,44
